Region,Confirmed Cases,Active Cases,Cured/Discharged,Deaths,confirmed_num,active_num,cured_num,deaths_num,Discharge Ratio ,Death Ratio ,Active Ratio 
Andhra Pradesh,"40,19,28,795","1,89,47,502","37,99,83,788","29,97,505",401928795,18947502,379983788,2997505,98.22,1.7,0.08
Arunachal Pradesh,"75,26,641","5,61,965","69,35,877",28799,7526641,561965,6935877,28799,98.59,0.69,0.72
Assam,"10,31,30,417","64,74,673","9,59,76,620","6,79,124",103130417,6474673,95976620,679124,98.31,0.5,1.19
Bihar,"13,74,26,862","59,89,385","13,02,55,132","11,82,345",137426862,5989385,130255132,1182345,97.95,0.96,1.08
Chhattisgarh,"16,94,63,236","99,90,619","15,73,28,806","21,43,811",169463236,9990619,157328806,2143811,98.66,1.33,0.01
Goa,"2,92,26,635","17,48,138","2,70,10,584","4,67,913",29226635,1748138,27010584,467913,98.7,1.25,0.05
Gujarat,"14,79,36,567","86,20,643","13,70,50,642","22,65,282",147936567,8620643,137050642,2265282,98.62,1.35,0.04
Haryana,"13,83,63,795","62,17,374","13,05,88,349","15,58,072",138363795,6217374,130588349,1558072,99.94,0.04,0.02
Himachal Pradesh,"3,15,17,156","20,37,238","2,89,63,662","5,16,256",31517156,2037238,28963662,516256,98.23,1.74,0.03
Jammu and Kashmir,"5,97,70,493","39,26,963","5,49,83,294","8,60,236",59770493,3926963,54983294,860236,97.65,1.84,0.51
Jharkhand,"6,39,59,332","33,14,403","5,98,63,668","7,81,261",63959332,3314403,59863668,781261,98.76,1.22,0.02
Karnataka,"50,54,00,547","3,77,37,004","46,13,60,874","63,02,669",505400547,37737004,461360874,6302669,98.66,1.26,0.08
Kerala,"48,55,01,792","3,79,94,041","44,54,67,820","20,39,931",485501792,37994041,445467820,2039931,97.53,1.68,0.79
Madhya Pradesh,"14,07,20,812","70,38,564","13,18,35,755","18,46,493",140720812,7038564,131835755,1846493,98.25,1.35,0.39
Maharashtra,"1,16,36,77,832","7,84,31,448","1,06,06,27,200","2,46,19,184",1163677832,78431448,1060627200,24619184,98.49,1.48,0.04
Manipur,"1,34,44,173","12,28,019","1,20,29,496","1,86,658",13444173,1228019,12029496,186658,98.14,1.27,0.59
Meghalaya,"79,36,889","7,30,841","70,93,172","1,12,876",7936889,730841,7093172,112876,93.83,0.51,5.66
Mizoram,"35,02,293","6,74,527","28,16,074",11692,3502293,674527,2816074,11692,98.73,1.01,0.26
Nagaland,"52,00,889","4,66,337","46,71,305",63247,5200889,466337,4671305,63247,99.42,0.49,0.09
Odisha,"16,59,15,604","83,21,204","15,67,47,583","8,46,817",165915604,8321204,156747583,846817,98.66,1.33,0.02
Punjab,"10,33,50,215","56,14,676","9,48,62,164","28,73,375",103350215,5614676,94862164,2873375,97.09,2.12,0.79
Rajasthan,"16,74,74,310","1,04,22,406","15,55,28,578","15,23,326",167474310,10422406,155528578,1523326,95.69,1.56,2.75
Sikkim,"34,11,077","3,95,110","29,60,650",55317,3411077,395110,2960650,55317,95.55,1.72,2.73
Tamil Nadu,"44,68,35,839","2,16,50,589","41,90,73,475","61,11,775",446835839,21650589,419073475,6111775,82.28,0.34,17.37
Tripura,"1,45,09,713","9,15,290","1,34,40,332","1,54,091",14509713,915290,13440332,154091,95.58,2.08,2.34
Uttar Pradesh,"32,15,38,180","1,69,02,617","30,03,75,514","42,60,049",321538180,16902617,300375514,4260049,98.58,0.8,0.62
Uttarakhand,"5,51,41,361","37,35,300","5,03,72,718","10,33,343",55141361,3735300,50372718,1033343,97.8,1.46,0.74
West Bengal,"27,12,00,932","1,16,34,090","25,56,48,230","39,18,612",271200932,11634090,255648230,3918612,97.21,2.74,0.05
Telangana,"13,35,91,864","76,23,734","12,51,98,970","7,69,160",133591864,7623734,125198970,769160,99.05,0.94,0.01
Andaman and Nicobar Islands,"19,59,911",62581,"18,69,643",27687,1959911,62581,1869643,27687,95.74,1.24,3.02
Chandigarh,"1,11,95,340","5,86,170","1,04,57,616","1,51,554",11195340,586170,10457616,151554,98.05,1.34,0.62
Dadra and Nagar Haveli and Daman and Diu,"20,17,855",95685,"19,21,132",1038,2017855,95685,1921132,1038,98.58,0.59,0.83
Ladakh,"41,43,790","2,46,910","38,50,424",46456,4143790,246910,3850424,46456,98.21,0.96,0.83
Lakshadweep,"9,99,976",87994,"9,07,638",4344,999976,87994,907638,4344,98.65,1.34,0.01
Delhi,"29,36,69,991","88,36,420","27,97,74,638","50,58,933",293669991,8836420,279774638,5058933,97.74,2.15,0.11
Puducherry,"2,07,66,314","12,58,076","1,91,86,419","3,21,819",20766314,1258076,19186419,321819,98.26,1.19,0.55
